Record ID,Date Closed,Due Date,Implementation Phase,Implementation Type,CA ID,Record ID,Target Implementation Date,Status,Lifecycle State,QE ID,URL-Record ID,URL-Record ID
CA-017666,,21-Jun-24,,Post-Implementation,CA-017666,QE-007231,13-Jun-24,Active,In Post-Implementation Execution,QE-007231,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000Z9001,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000XB007
CA-017665,,,N/A,Post-Implementation,CA-017665,QE-007160,24-Jun-24,Active,In Change Plan Approval,QE-007160,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000Z6019,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000WS005
CA-017664,,31-Jul-24,Phase 2,Pre-Implementation,CA-017664,QE-007196,31-Jul-24,Active,In Assessment & Plan Building,QE-007196,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000Z8012,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000X7003
CA-017663,,09-Aug-24,N/A,Post-Implementation,CA-017663,QE-007159,17-Jun-24,Active,In Post-Implementation Execution,QE-007159,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000Z7020,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000WS004
CA-017662,,20-Sep-24,,Post-Implementation,CA-017662,QE-007196,31-Jul-24,Active,In Assessment & Plan Building,QE-007196,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000Z7019,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000X7003
CA-017661,,12-Jul-24,,Post-Implementation,CA-017661,QE-007086,03-May-24,Active,In Post-Implementation Execution,QE-007086,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000Z8011,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000W2008
CA-017660,,31-Jul-24,NA,Pre-Implementation,CA-017660,QE-007122,25-Oct-24,Active,In Pre-Implementation Execution,QE-007122,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000Z7018,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000WC002
CA-017659,,20-Feb-25,N/A,Post-Implementation,CA-017659,QE-007223,29-Feb-24,Active,In Assessment & Plan Building,QE-007223,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000Z6018,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000X9004
CA-017658,,21-Jun-24,N/A,Pre-Implementation,CA-017658,QE-007113,01-Jul-24,Active,In Pre-Implementation Execution,QE-007113,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000Z7017,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000WB001
CA-017657,,21-Jun-24,N/A,Pre-Implementation,CA-017657,QE-007113,01-Jul-24,Active,In Pre-Implementation Execution,QE-007113,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000Z6017,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000WB001
